time,q11,q12,q13,q14,q15,q16,q17
0.000000,4.9916234036e-02,-1.0868953029e-03,4.3417788521e-02,1.9999635776e-01,9.9818194889e-02,5.0003370976e-02,5.4953011315e-02
0.010000,4.9772364865e-02,-2.7553168445e-03,3.3339317825e-02,2.0006241252e-01,9.9540892323e-02,4.9972266553e-02,6.2538477720e-02
0.020000,4.9550423082e-02,-4.4017177774e-03,2.3467849274e-02,2.0035374590e-01,9.9277237062e-02,4.9816880053e-02,6.9966297212e-02
0.030000,4.9145276113e-02,-6.1519319890e-03,1.3138357488e-02,2.0110764618e-01,9.9028765143e-02,4.9402163246e-02,7.7725663937e-02
0.040000,4.8557853117e-02,-7.8426861243e-03,3.3748124512e-03,2.0233889723e-01,9.8840120477e-02,4.8716646836e-02,8.5034247565e-02
0.050000,4.7618017243e-02,-9.7426897765e-03,-7.2444505746e-03,2.0443549575e-01,9.8725347073e-02,4.7540287452e-02,9.2930031443e-02
0.060000,4.6458929395e-02,-1.1567506865e-02,-1.7065736728e-02,2.0710457384e-01,9.8733476699e-02,4.6035273820e-02,1.0016216713e-01
0.070000,4.5139954613e-02,-1.3222062429e-02,-2.5480420347e-02,2.1019072966e-01,9.8550211357e-02,4.4310307905e-02,1.0658003996e-01
0.080000,4.3288228254e-02,-1.5066998359e-02,-3.4321749521e-02,2.1459427620e-01,9.8678113996e-02,4.1813265563e-02,1.1307365299e-01
0.090000,4.1314044800e-02,-1.7022615697e-02,-4.3323442628e-02,2.1933197809e-01,9.8838376096e-02,3.9149703031e-02,1.1968156531e-01
0.100000,3.8947705349e-02,-1.9198391205e-02,-5.2867440922e-02,2.2509023859e-01,9.9410841593e-02,3.5876433612e-02,1.2637813498e-01
0.110000,3.5827599433e-02,-2.1986646777e-02,-6.4465657709e-02,2.3278965557e-01,1.0049024759e-01,3.1478225337e-02,1.3425061112e-01
0.120000,3.2725108304e-02,-2.4719037420e-02,-7.5183998375e-02,2.4055805428e-01,1.0183732766e-01,2.7022701459e-02,1.4129244972e-01
0.130000,2.8877344783e-02,-2.8101686010e-02,-8.7675865794e-02,2.5033861361e-01,1.0382538337e-01,2.1391097066e-02,1.4922160214e-01
0.140000,2.5500001308e-02,-3.1294713402e-02,-9.8985848087e-02,2.5910408593e-01,1.0601775168e-01,1.6338264264e-02,1.5609049305e-01
0.150000,2.1215790607e-02,-3.5262645230e-02,-1.1205838933e-01,2.7037944638e-01,1.0906281314e-01,9.8016064311e-03,1.6369860226e-01
0.160000,1.7134077454e-02,-3.9194281855e-02,-1.2421907033e-01,2.8134729573e-01,1.1203425595e-01,3.4174937362e-03,1.7077467141e-01
0.170000,1.2440112122e-02,-4.3872708881e-02,-1.3784872230e-01,2.9421146036e-01,1.1557907176e-01,-4.1018735721e-03,1.7865763305e-01
0.180000,7.9309838116e-03,-4.8633535873e-02,-1.5091828023e-01,3.0688787443e-01,1.1922823890e-01,-1.1542219469e-02,1.8613244588e-01
0.190000,3.0913209250e-03,-5.4054536924e-02,-1.6505356057e-01,3.2084550524e-01,1.2343655538e-01,-1.9764272723e-02,1.9411709197e-01
0.200000,-1.6253864942e-03,-5.9735785790e-02,-1.7906769057e-01,3.3488634417e-01,1.2791754688e-01,-2.8067665950e-02,2.0190382102e-01
0.210000,-6.4044889700e-03,-6.5907928501e-02,-1.9358096281e-01,3.4956453160e-01,1.3285926419e-01,-3.6776801924e-02,2.0983139987e-01
0.220000,-1.1185846271e-02,-7.2622072858e-02,-2.0856184508e-01,3.6483349970e-01,1.3832820468e-01,-4.5868457231e-02,2.1783664894e-01
0.230000,-1.5752862979e-02,-7.9561561188e-02,-2.2335469667e-01,3.7998982982e-01,1.4406705245e-01,-5.4919512257e-02,2.2556929200e-01
0.240000,-2.0303950250e-02,-8.7252251388e-02,-2.3906008433e-01,3.9588935561e-01,1.5049289027e-01,-6.4432681721e-02,2.3360532051e-01
0.250000,-2.4648551076e-02,-9.4993164045e-02,-2.5382519170e-01,4.1164254511e-01,1.5768901554e-01,-7.3910130240e-02,2.4021224461e-01
